review,total_word_count,count_good,count_average,count_medium,count_worst,sentiment,topic_cluster
The restaurant is pretty bad my daughter got sick from the Turkey Sandwich and no place within walking distance,19,0,0,0,1,Worst,0
One must get a ride to any other place,9,0,0,0,0,Neutral,0
Makes it tough when there for a conference,8,0,0,0,0,Neutral,0
Not a 4-Star in my opinion,6,0,0,0,0,Neutral,0
"Not flexible, you have to come all the way down from however high your room is to use the microwave",21,0,0,0,0,Neutral,0
They are not helpful and to me not very hospitable,10,1,0,0,0,Good,0
You have to flush multiple times to get the toilet to completely flush,13,0,0,0,0,Neutral,0
I stayed at the Hilton Hotel in Hasbrouck for several days and booked my stay through Expedia for the first time,21,0,0,0,0,Neutral,1
"Initially, there was an issue with my reservation because it wasn't confirmed at the time of booking; however, I received the confirmation email later",28,0,0,0,0,Neutral,0
"Fortunately, Daniel at the front desk was able to accommodate my needs, ensuring a comfortable and peaceful stay",20,1,0,0,0,Good,0
I appreciate his help and the hotel’s hospitality,10,0,0,0,0,Neutral,0
A bit dated,3,0,0,0,0,Neutral,0
Staff is nice,3,1,0,0,0,Good,2
Decent breakfast buffet,3,0,1,0,0,Average,0
Daniel & Kim were very warm & welcoming from the time we arrived,13,0,0,0,0,Neutral,0
The location is perfect & the everything is aesthetically pleasing,10,1,0,0,0,Good,0
I’ll definitely stay here every trip,8,0,0,0,0,Neutral,1
Be sure to say hi to Daniel & Kim,9,0,0,0,0,Neutral,0
They’ll be sure to greet you with a smile,11,0,0,0,0,Neutral,0
Excellent!,2,1,0,0,0,Good,0
The waiter Elvin was SOOOO nice and helpful!!! The shower force is EXCELLENT!!! The room was clean,23,4,0,0,0,Good,4
This is a good place to stay if you need to be in the area,15,1,0,0,0,Good,1
The rooms are clean and well kept,7,1,0,0,0,Good,4
Staff was nice and helpful,5,2,0,0,0,Good,2
The restaurant had a good hot breakfast buffet and dinner offerings were okay,13,1,1,0,0,Good,0
Parking is free and location is good for turnpike connections,10,1,0,0,0,Good,0
The only reason I didn't give it 5 stars is because it is close to a regional airport,19,0,0,0,0,Neutral,0
"While we were able to sleep, there were periods where planes come low over the hotel",17,0,0,0,0,Neutral,0
We stayed for a wedding and it was fine,9,0,1,0,0,Average,0
"Okay we come here for work all of the time, and I dread when we have to get up early early mornings or late nights for our flights, but I will say, a HIGHLIGHT of all the Hilton hotels we stay at, seriously, is being greeted and seeing Debbie at the front desk- truly- she is so kind and so helpful- she really does go above and beyond, we know each other by name and she seriously makes it a point to be so kind to us, even if she just worked all night long, we love you Debbie!!!!! - Erika from America",116,0,1,0,0,Average,0
"We stay here at least two or three times a year, with each stay lasting 3 or 4 nights",20,0,0,0,0,Neutral,1
We’ve always had a pleasant stay with a clean room,12,2,0,0,0,Good,4
"The entire staff - front desk, restaurant, and housekeeping - are all extremely friendly",16,1,0,0,0,Good,2
This past stay we found out in the middle of our last night that our flight was cancelled for the next day,22,0,0,0,0,Neutral,0
All flights at LGA had been cancelled and it was difficult to find a flight,15,0,0,0,0,Neutral,0
We decided our best option was to stay another day and fly out of another airport,16,0,0,0,0,Neutral,1
We were definitely at wits end after that,8,0,0,0,0,Neutral,0
Debbie at the front desk was amazing at getting us booked for another night in the same room,18,1,0,0,0,Good,0
This hotel staff has always come through with every request,10,0,0,0,0,Neutral,2
We will continue to come back!,7,0,0,0,0,Neutral,0
Stayed at this facility in March 26,7,0,0,0,0,Neutral,0
The had the high school staying at this facility,9,0,0,0,0,Neutral,0
I was in room 124,5,0,0,0,0,Neutral,4
"The staff we very nice, they served breakfast for all the school groops",14,1,0,0,0,Good,0
"The food was good, the staff were friendly",9,2,0,0,0,Good,2
"The facility was very clean! I would come back from being out all day, the staff cleaned the rooms, it felt nice",25,2,0,0,0,Good,4
Out standing staff especially the people that kept the room s,11,0,0,0,0,Neutral,0
very good,2,1,0,0,0,Good,0
"I recently hosted a Celebration of Life event for my grandmother at the Hilton, and the entire experience was exceptional",21,0,0,0,0,Neutral,0
"The catering and food were fantastic, and Dora was incredibly attentive—making sure our group of 50 had everything we needed throughout the event",26,0,0,0,0,Neutral,0
"Marlon was also extremely helpful, ensuring all the logistics were handled perfectly, from the podium to the lighting",20,1,0,0,0,Good,0
"The planning process was seamless thanks to Donna and Stephanie, who made organizing the event easy from the very beginning",21,0,0,0,0,Neutral,0
"Every member of the staff we interacted with was kind, professional, and genuinely supportive during such a meaningful occasion for our family",24,0,0,0,0,Neutral,0
It truly couldn’t have gone better,8,0,0,0,0,Neutral,0
I’m so grateful to the entire team for helping us create such a beautiful and memorable gathering,19,0,0,0,0,Neutral,0
Everything landed well from the start,6,0,0,0,0,Neutral,0
The front desk team handled the arrival with a kind of quiet confidence that made the whole check-in feel like running into people who actually wanted you there,28,0,0,0,0,Neutral,0
"The room was tidy and genuinely silent in a way that felt earned rather than accidental, breakfast was simple but done with real attention, and the neighbourhood outside contributed something most hotels can't manufacture: stillness",39,0,0,0,0,Neutral,0
But the thing that stays with you is the honesty of the value,13,0,0,0,0,Neutral,0
"The level of care here has no business existing at this price point, and that gap between expectation and reality is exactly what makes the place so easy to recommend and so difficult to stay away from",38,0,0,0,0,Neutral,0
"Una buena opción y de las más económicas cerca del American Dream Mall, amplio estacionamiento, el cuarto es más amplio que los de NY y la atención es buena más no exelente",34,0,0,0,0,Neutral,0
"Hay un bar y restaurant dentro del mismo hotel, un Gym pequeño, fines de semana parece que usan mucho las salas de conferencia para eventos multinivoe y religiosos, así que talvez encuentres mucha gente si quieres usar el área del Gym en el lower level",48,0,0,0,0,Neutral,0
LA Llave DE la regadadrea en nuestro cuarto no funcionaba bien y no nos tomamos la molestia de llamar a recepción para que lo arreglen pero deben poner más atención en todos los pequeños detalles,35,0,0,0,0,Neutral,0
Could use more gym equipment and cleaning supplies,8,0,0,0,0,Neutral,0
From check in to dinner to check out this hotel is great,12,1,0,0,0,Good,0
I am a Hilton Whore so I always stay at Hilton properties unless I have to stay elsewhere because of a work,22,0,0,0,0,Neutral,1
From check in with Kim to dinner at bar with Abdul was great,13,1,0,0,0,Good,0
Kim was a delight after driving a lot all day,10,0,0,0,0,Neutral,0
She was pleasant and really knew how to greet a guest,11,1,0,0,0,Good,0
She is an absolute pleasure to see after a long day!||||Abdul is one of the best I have seen at a Hilton,24,0,0,0,0,Neutral,0
"He is easy to talk to, knows what he is talking about, and simply makes the night as a guest of the hotel a reason to return",29,0,0,0,0,Neutral,0
He gets it!  As a former DOS at a hotel Abdul is the employee I would want representing me ||||I highly recommend the Hilton in Hackensack and will be back!,32,0,0,0,0,Neutral,0
Stayed here 1 week and was happy I left,9,0,0,0,0,Neutral,0
Every single day the fire alarm went off,8,0,0,0,0,Neutral,0
Very annoying and inconvenient,4,0,0,0,0,Neutral,0
The last straw was a carbon monoxide leak in the early morning,12,0,0,0,0,Neutral,0
We could’ve died in our sleep!! The glass shower door didn’t glide,18,0,0,0,0,Neutral,0
Old furniture,2,0,0,0,0,Neutral,0
Working at Hilton Hasbrouck has always been a pleasure,9,0,0,0,0,Neutral,0
"With its practical layout and supportive staff, we’ve successfully managed countless events here, each running efficiently from start to finish",24,0,0,0,0,Neutral,0
@bukharagrillcaterers,2,0,0,0,0,Neutral,0
"I had a deeply disappointing experience at this property during an already difficult time, as my family and I were in New Jersey to bury my grandmother",28,0,0,0,0,Neutral,0
"Upon check-in, the room condition did not match the hotel’s description as “recently renovated",18,0,0,0,0,Neutral,0
"” The room appeared worn, the pillows had an unpleasant odor, and the shower had a damp, musty smell",22,0,0,0,0,Neutral,0
"When I contacted the front desk shortly after check-in to request a room change or cancellation, the associate was dismissive and unhelpful",23,0,0,0,1,Worst,0
"That same night, my family who were staying in a second room, were displaced by a fire alarm that was not resolved until early morning",27,0,0,0,0,Neutral,0
They were unable to safely remain in the hotel and had to sleep in their car overnight,17,0,0,0,0,Neutral,0
"The following day, there was also no hot water available at the property",14,0,0,0,0,Neutral,0
"Between the room conditions, safety disruption, lack of hot water, and the way concerns were handled by staff, this stay fell far below basic hospitality standards, especially for a Hilton property",36,0,1,0,0,Average,0
"As a premium Hilton Honors member, this experience was unacceptable and extremely disappointing",14,0,0,0,0,Neutral,0
"The hotel has nice facilities, clean rooms, and good housekeeping (I stay here about once a month)",21,3,0,0,0,Good,4
Maria and Abdul at the bar are excellent (they really belong in hospitality),15,1,0,0,0,Good,0
The kitchen produces good food (mostly from scratch I think),12,1,0,0,0,Good,0
The hotel has a captive clientele of professional pilots (I am one),14,0,0,0,0,Neutral,0
Most of the CSR’s at the front desk are helpful (seems a few of the more tenured ones tend to be more “curmudgeonly” - like me😉 ),32,1,0,0,0,Good,0
