review,total_word_count,count_good,count_average,count_medium,count_worst,vader_score,sentiments
"Great everything, but no safe in rooms",8,1,0,0,0,-0.1429,Good
weird!,2,0,0,0,0,-0.2481,Worst
"Rooms suck, they are really outdated TV is a 30 inch tv from the 90’s",18,0,0,0,2,-0.4404,Worst
Plumbing sucks toilet would not flush good,7,0,0,0,3,-0.6002,Worst
The room had a smell to them,7,0,0,0,1,0,Worst
There was bugs in the room and not to mention the breakfast was not what other Fairfield’s offer,20,0,0,0,1,0,Worst
Tried to get a hold of manager and I could never speak to her,14,0,0,0,1,0,Worst
I’ve tried calling and front desk  and they would pretended they were the manager,16,0,0,0,0,0,Average
"Close to everything, great staff, nice rooms with comfy beds, quiet, and a great breakfast",19,5,0,0,0,0.9001,Good
Very clean and seems to be recently updated,8,2,0,0,0,0.4576,Good
I’d stay here again,6,0,0,0,0,0,Average
"Nice property, clean, and a friendly staff",9,2,0,0,0,0.8271,Good
"A bit noisy, minutes from downtown, located on the frontage road of a busy I35",17,0,0,1.5,1,-0.1779,Medium
Exelente muy amable la muchacha de recepccion,7,0,0,0,0,0,Average
Nice room,2,0,0,0,0,0.4215,Good
great people!,3,1,0,0,0,0.6588,Good
My reason for choosing this site was easy parking fairly near my granddaughter who lives near downtown Austin,18,0,0,0,0,0.4404,Good
The surprise came with the hotel staff,7,0,0,0,0,0.2732,Good
"Sisi greeted us with a warm smile, then the other members of the team were equally helpful",18,2,0,0,0,0.8074,Good
Jarred at the front desk is awesome! Very accommodating and kind and answered all my questions and even told me a bit about the Austin area,27,3,0,0,0,0.8424,Good
Amazing service I’ll be staying here the next time I visit Austin!,15,1,0,0,0,0.6239,Good
Our go to hotel when we visit Austin,8,0,0,0,0,0,Average
Booked with points so this was supposed to be a free stay,12,0,0,0,0,0.5106,Good
Got hit with a $350 smoking fee even though the elevator and halls already smelt of marijuana,18,0,0,0,0,0,Average
The past comments the property management mentions how the fee is to cover additional cleaning fees,16,0,0,0,0,0,Average
I’d like to read that hefty cleaning report for my room that implies it needed an extra $350 charge upon departure,24,0,0,0,0,0.3612,Good
