review,total_word_count,count_good,count_average,count_medium,count_worst,sentiment,predicted_sentiment
the staff was great very friendly,7,1,0,0.0,0,Good,Good
the bed was also really comfortable and the room was very nice,13,1,0,0.0,0,Good,Good
pretty disappointed with the stay though,6,0,0,0.0,1,Worst,Worst
it wasnt listed on the app or on google that the restaurant had just closed and i didnt know there was no hot water until after i checked in,32,0,0,0.0,0,Worst,Worst
there wasnt really any food i saw other than a few drinks in a fridge coffee and some applesoranges,22,0,0,0.0,0,Average,Average
so with the lack of hot water and really no food i feel like i wasted my points the one time i decided to spend them,27,0,0,0.0,0,Worst,Worst
do not stay here i called the day of my checkin to ask a question and was told they do not have any hot water and they offered to cancel my reservation,36,0,0,0.0,0,Worst,Worst
the front desk agent that had answered the phone said this had been an ongoing issue it was supposed to have been fixed they were calling all reservations to see if they wanted to cancel and the hotel was completely closing on the st,47,0,0,0.0,1,Worst,Worst
i confirmed that was not an option as we have nonrefundable tickets to an event tonight and with it being new years eve everything was significantly more expensive,31,0,0,0.0,1,Worst,Worst
i asked to either receive a discount for the night or if they could transfer me to the holiday inn express down the street for the same rate as it was now more for the night,40,0,0,0.0,0,Good,Good
the call was transferred to the manager lynette who immediately had a raised voice from the moment she got on the call she was incredibly unprofessional and rude and when i mentioned this she yelled at me that i can file a complaint against her if i want to because they are independently owned and not affiliated with any other holiday inn,67,0,0,0.0,2,Worst,Worst
she continued to yell at an try to berate me then canceled my reservation and hung up on me while still charging me for it,27,0,0,0.0,0,Average,Average
that said it is less than five hours before checkin and they still have not made calls to people checking in i had to let our friends know there isnt any hot water and to try and scramble to figure things out at the very last minute,50,0,0,0.0,0,Good,Good
do not stay here and avoid lynette at all costs,0,0,0,0.0,0,Neutral,Neutral
has everything i needed for an overnight stay,8,0,0,0.0,0,Average,Average
bed is comfortable and cozy,5,2,0,0.0,0,Good,Good
ac was not too loud,5,0,0,0.0,0,Average,Average
i slept really well,4,0,0,0.0,0,Good,Good
i’m well rested,5,0,0,0.0,0,Good,Good
manager lynette was very kind and accommodating i appreciated her courtesy during my stay,15,2,0,0.0,0,Good,Good
housekeeping staff were helpful as well,6,1,0,0.0,0,Good,Good
quite close to petersen space force base and the airport,10,0,0,0.0,0,Average,Average
very convenient location,3,1,0,0.0,0,Good,Good
gave a goody bag upon checking in,7,0,0,0.0,0,Average,Average
good and dependable breakfast,4,0,0,0.0,0,Good,Good
with a great selection of pillows a comfortable bed i slept well,13,3,0,0.0,0,Good,Good
a hot shower with good water pressure made me take a longer than usual shower,15,0,0,0.0,0,Good,Good
very good breakfast with no extra charge for oj excellent parking for a full size pick up with a trailer,21,1,0,0.0,0,Good,Good
service was lacking a bit but reliable employees are so rare that i’ll still giving stars,19,0,0,1.5,0,Medium,Medium
also we did feel safe at this hotel great neighborhood,11,1,0,0.0,0,Good,Good
nice really liked this hotel,6,0,0,0.0,0,Good,Good
lady at desk was rude and disrespectful,7,0,0,0.0,1,Worst,Worst
booked this hotel solely for its free shuttle paired with a clinic and hotel,14,0,0,0.0,0,Good,Good
come to find out it does not run on weekends to the airport and the day we needed it they didn’t have someone available to drive,29,0,0,0.0,0,Average,Average
the front desk gal was apologetic however we did end up having to spend significantly more money on transportation services which was not planned for,26,0,0,0.0,0,Average,Average
had we known the shuttle wasn’t a for sure service as advertised we would have chosen elsewhere to stay,22,0,0,0.0,0,Good,Good
we had a great time in this hotel room is big view is great mountain furniture are well equipped,24,2,0,0.0,0,Good,Good
theres an additional table that i can use,9,0,0,0.0,0,Average,Average
breakfast was great service was great even on second day when the server was missing the cook had to take care of front and back kitchen,29,2,0,0.0,0,Good,Good
very clean nice room,5,1,0,0.0,0,Good,Good
continental breakfast was better than average and the attendants were superb,11,1,0,1.5,0,Medium,Medium
surfaces were all clean and food was fresh,8,2,0,0.0,0,Good,Good
indoor pool and hottub were fine,6,0,1,0.0,0,Average,Average
a really good stay here,6,0,0,0.0,0,Good,Good
great stay,2,1,0,0.0,0,Good,Good
conveniently located near the airport,5,0,0,0.0,0,Average,Average
hotel fraco ar condicionado não resfriava então mudamos de quarto e o proximo gelava demais,17,0,0,0.0,0,Average,Average
restaurante com poucas opções somente porções estava mais para um bar,13,0,0,0.0,0,Average,Average
íamos sair cedo para o aeroporto e o café deveria ser servido a partir das h mas deu e não tinha ninguém pra atender,25,0,0,0.0,0,Average,Average
pagamos por café da manhã e não recebemos,8,0,0,0.0,0,Average,Average
não fosse o anthony que foi super gentil e solicito minha nota seria zero,14,0,0,0.0,0,Good,Good
para o anthony dou um,6,0,0,0.0,0,Average,Average
se precisar de um hotel próximo ao aeroporto procure outro esse é só incômodo,15,0,0,0.0,0,Average,Average
the building is being remodeled so theres stuff missing and things hanging down,14,0,0,0.0,0,Worst,Worst
the clerk was efficient,4,1,0,0.0,0,Good,Good
the room is dated,4,0,0,0.0,0,Average,Average
very accommodating and friendly,4,1,0,0.0,0,Good,Good
as a loyal customer this was by far my worst holiday inn experience,14,0,0,0.0,1,Worst,Worst
where to begin here goes,7,0,0,0.0,0,Average,Average
found multiple long black hairs in the shower which was pretty gross,13,0,0,0.0,0,Average,Worst
the advertised shuttle service was misleading,6,0,0,0.0,0,Worst,Average
it only runs from am to pm which didnt align with my flight times,18,0,0,0.0,0,Average,Average
i wasn’t the only one frustrated by this—another guest had the same issue,17,0,0,0.0,1,Worst,Worst
the desk employee was rude and unhelpful,7,0,0,0.0,1,Worst,Worst
when i called to request a shuttle for a late arrival the woman on the phone was dismissive and cold,21,0,0,0.0,0,Average,Average
no greeting upon checkin,4,0,0,0.0,0,Worst,Worst
i had to find and interrupt the same employee who was chatting with a coworker just to get checked in,22,0,0,0.0,0,Worst,Average
room directions were unclear and i had to wander around the hotel to find my room,17,0,0,0.0,0,Worst,Average
the lighting in the room was poor making it feel dark and uncomfortable even with all the lights on,21,0,0,0.0,1,Worst,Worst
the gym’s only treadmill was broken,8,0,0,0.0,1,Worst,Worst
no complimentary coffee in the lobby,6,0,0,0.0,0,Worst,Worst
the entire hotel felt old neglected and in desperate need of renovation,14,0,0,0.0,1,Worst,Worst
definitely not the experience i expected especially from a brand i’ve trusted for years,17,0,0,0.0,0,Good,Good
very clean hotel,3,1,0,0.0,0,Good,Good
the staff is wonderful specially anthony who work at front desk,11,1,0,0.0,0,Good,Good
he makes us very smooth check in,7,0,0,0.0,0,Average,Average
and the cleaning crews and the restaurant staff are all amazing people specially anna,16,1,0,0.0,0,Good,Good
everyone was happy to help and engage,7,0,0,0.0,0,Good,Good
location is perfect for our needs,6,1,0,0.0,0,Good,Good
close to the airport,4,0,0,0.0,0,Average,Average
really liked this hotel,4,0,0,0.0,0,Good,Good
great rooms very nice lobby,6,1,0,0.0,0,Good,Good
breakfast was delicious and the free meal they offer kids wash huge chocolate chip pancakes with whipped cream and fruit,22,1,0,0.0,0,Good,Good
service was slow because like so many places they were understaffed but our waitress worked hard to serve everyone and even squeezed in a late order for my husband when his appointment ran late,37,0,0,0.0,1,Worst,Worst
minutes from red rock canyon and garden of the gods,11,0,0,0.0,0,Average,Average
would definitely return again,5,0,0,0.0,0,Good,Good
the hotel is going through renovations and my room way definitely prerenovation,12,0,0,0.0,0,Good,Good
the fridge didnt work the shower had more water leaking and dropping than coming out the front of the shower head the tv remote didnt work and various lights didnt work,37,0,0,0.0,0,Average,Average
i paid extra for the breakfast included and there was only server for tables it was entirely too many,22,0,0,0.0,0,Average,Average
im sure she wouldve loved to give good service but if youve ever waited tables before you know is way too many especially for breakfast when people are trying to get in and out to go do activities,45,1,0,0.0,0,Good,Good
other than that it was a decent location for doing stuff nearby and views were good,16,0,1,0.0,0,Average,Average
it is very conveniently located near the airport and can have amazing views of pikes peak if youre on the right side,23,1,0,0.0,0,Good,Good
the hotel is very old and outdated,7,0,0,0.0,2,Worst,Worst
the mattress was a very uncomfortable spring mattress and it sagged completely on one side,15,0,0,0.0,1,Worst,Worst
the elevators displayed violations that needed to be corrected,9,0,0,0.0,0,Worst,Average
overall not a good experience,6,0,0,0.0,0,Worst,Worst
my go to place when im in the area,10,0,0,0.0,0,Average,Average
great hotel,2,1,0,0.0,0,Good,Good
the rooms were nice and had a great view,9,1,0,0.0,0,Good,Good
i liked it more than most hotels ive been too,11,0,0,0.0,0,Good,Good
guy at the front was nice and helpful,8,1,0,0.0,0,Good,Good
only negative was that they didnt have hot chocolate packets,11,0,0,0.0,0,Worst,Worst
半年前在hotwire 上订的宾馆，有可能订的太早，当晚入住时，服务人员说我们没有我们的预订记录，我们把订的单据show给服务人员，她的第一反应是我们遇到了spam后来她才跟我们说几个月前，这里因为漏水问题所以关闭了很多房间，他们也跟hotwire联系过，有可能是hotwire那边没通知道我们。这明明是hotel 与hotwire之间没沟通好的问题，宾馆第一方应是我们遇到了spam 这种态度也太推卸责任了。,0,0,0,0.0,0,Neutral,Neutral
very clean hotel,3,1,0,0.0,0,Good,Good
the staff is wonderful and i mean everyone,9,1,0,0.0,0,Good,Good
the front desk the cleaning crews and the restaurant staff are all amazing people,16,1,0,0.0,0,Good,Good
everyone was happy to help and engage,7,0,0,0.0,0,Good,Good
location is perfect for our needs,6,1,0,0.0,0,Good,Good
close to the airport and not too far from the shops on powers,13,0,0,0.0,0,Average,Average
the room was a great size for us,8,1,0,0.0,0,Good,Good
there is plenty of room for two people to move about freely,12,0,0,0.0,0,Good,Average
there is a great pool and hot tub too,10,1,0,0.0,0,Good,Good
never busy or crowded,4,0,0,0.0,0,Average,Average
we look forward to staying here again,7,0,0,0.0,0,Average,Average
thank you so much to the woman at the desk mia,13,0,0,0.0,0,Good,Good
i was stranded at the airport at a calling every hotel,12,0,0,0.0,0,Average,Average
she was glad to help and waited until i arrived before closing booking,13,0,0,0.0,0,Good,Good
very patient kind and understanding,6,1,0,0.0,0,Good,Good
when i thought i couldnt afford the room she started calling surrounding hotels to help me out,18,0,0,0.0,0,Good,Good
in the end i ended up staying there,9,0,0,0.0,0,Average,Average
the hotel room was big and very nice with good dove shampoo and lotion which was a lifesaver since i didnt have my luggage,26,0,0,0.0,0,Good,Good
outstanding performance and service,4,1,0,0.0,0,Good,Good
the restaurant was not to appealing,6,0,0,0.0,0,Average,Average
we arrived in our room to find out the ac unit on the wall wasnt working and the room phone didnt work so we couldnt call the front desk for help,35,0,0,0.0,0,Good,Good
we called the desk from our cell phone to ask for help,12,0,0,0.0,0,Good,Good
he said hed be up in minutes,0,0,0,0.0,0,Neutral,Neutral
were still waiting for him to show up,9,0,0,0.0,0,Average,Average
while we were waiting we turned the tv on to find out there is no tv guide working on the tv,22,0,0,0.0,0,Worst,Worst
you would think this motel would be concerned at its reputation and would try to correct the situation,19,0,0,0.0,0,Average,Average
they just wanted to collect thier money,7,0,0,0.0,0,Average,Average
i will definitely make sure everyone knows about the lack of pride and customer service,15,0,0,0.0,0,Good,Good
never will stay here again,5,0,0,0.0,0,Average,Average
we stayed one night before an early flight,8,0,0,0.0,0,Average,Average
the room was clean the bed was comfortable and the front desk staff was friendly,17,2,0,0.0,0,Good,Good
checkin was easy and the basics were covered,8,0,0,0.0,0,Good,Good
that said the restaurant was already closed when we arrived around p,14,0,0,0.0,0,Average,Average
even though it’s supposed to stay open until,12,0,0,0.0,0,Average,Average
that was disappointing especially since we picked this hotel specifically for the onsite dining,15,0,0,0.0,1,Worst,Worst
i’d seen this mentioned in other reviews so luckily we grabbed food ahead of time,18,0,0,0.0,0,Good,Average
the room felt a bit dated and oddly laid out—the shower was basically a small closet—but it didn’t ruin anything,26,0,0,0.0,0,Worst,Average
the real issue was the area,6,0,0,0.0,1,Worst,Worst
the hotel sits next to a vacant field and the parking lot was nearly empty,15,0,0,0.0,0,Worst,Worst
it felt dark and a little sketchy,7,0,0,0.0,0,Average,Average
at one point a car pulled up and someone tried to wave me over,14,0,0,0.0,0,Average,Average
i didn’t engage but it left me feeling uneasy for the rest of the night,18,0,0,0.0,0,Worst,Average
the hotel itself did its job but the area and overall vibe just didn’t sit right with us,21,0,0,0.0,0,Average,Average
there were renovation signs in the lobby so hopefully things are improving,13,0,0,0.0,0,Good,Average
for now though we probably wouldn’t stay here again,12,0,0,0.0,0,Average,Average
housekeeping was amazing,3,1,0,0.0,0,Good,Good
every day i went out to work i would come back and they would have our beds made for us perfectly,21,0,0,0.0,0,Good,Good
i was very grateful for them,6,0,0,0.0,0,Good,Average
rooms were great but my view was of the entrance awning,12,1,0,0.0,0,Good,Good
lillian is exceptional,3,1,0,0.0,0,Good,Good
so polite and helpful,4,2,0,0.0,0,Good,Good
sierra at the front desk was so professional and had great customer service while checking us in thank you 😊,21,2,0,0.0,0,Good,Good
this hotel stinks smells like moldrew,7,0,0,0.0,0,Good,Good
check to make sure you reservations includes breakfast,8,0,0,0.0,0,Good,Good
they are never at the front desk,7,0,0,0.0,0,Average,Average
the only good thing is maybe the pool,8,0,0,0.0,0,Good,Good
very disappointed holiday inn,4,0,0,0.0,2,Worst,Worst
great customer service at the front desk and the restaurant is really good,14,1,0,0.0,0,Good,Good
better than the one next door to this location,9,0,0,0.0,0,Good,Good
honestly enjoyed the location of this establishment quite a bit as i was traveling back and forth to family’s house for business,24,1,0,0.0,0,Good,Good
booked rooms over a or so day stay was happy when there was a restaurant on site hot tub to soak in after a long day,30,0,0,0.0,0,Good,Good
i was hoping to unwind for my final night sunday day light savings if it matters when i see the restaurant doors closed i asked management close by if i could stop in for a drink where he stated they had closed early,46,0,0,0.0,0,Good,Good
i usually understand however it was only pm however they have posted pm close,15,0,0,0.0,0,Average,Average
i was hoping for a night cap not the worst thing to happen but wished i could have had the option…,22,0,0,0.0,1,Worst,Worst
the hotel is currently undergoing remodeling,6,0,0,0.0,0,Average,Average
upon our arrival we noticed that the carpet was dirty,11,0,0,0.0,1,Worst,Worst
the pool was closed for cleaning,6,0,0,0.0,0,Average,Average
the bottom of the pool also appeared dingy,8,0,0,0.0,0,Average,Average
additionally the hot tub had a white ring around the top,12,0,0,0.0,0,Good,Good
the hotel advertised complimentary breakfast on their website but this was not provided,14,0,0,0.0,0,Good,Good
the restaurant either closed early or did not open due to being shortstaffed,13,0,0,0.0,0,Average,Average
when we requested room cleaning we received fresh towels and empty trash cans while the beds were left unmade,21,1,0,0.0,0,Good,Good
furthermore the ice machine on the second floor was broken,11,0,0,0.0,1,Worst,Worst
it would be best to avoid this hotel,8,1,0,0.0,1,Good,Good
ve stayed here a couple times,6,0,0,0.0,0,Average,Average
its always been very pleasant,6,1,0,0.0,0,Good,Good
sierra at the front desk is absolutely amazing,8,1,0,0.0,0,Good,Good
she made my stay wonderful,5,1,0,0.0,0,Good,Good
will definitely be back,4,0,0,0.0,0,Good,Good
ive stayed here a couple times,7,0,0,0.0,0,Average,Average
its always been very pleasant,6,1,0,0.0,0,Good,Good
sierra at the front desk is absolutely amazing,8,1,0,0.0,0,Good,Good
she made my stay wonderful,5,1,0,0.0,0,Good,Good
will definitely be back,4,0,0,0.0,0,Good,Good
housekeeping certainly left something to be desired,7,0,0,0.0,0,Good,Good
desk service was little help,5,0,0,0.0,0,Good,Good
no soap dirty towels unable to get any extra pillows for my sleep apnea,16,0,0,0.0,1,Worst,Worst
thoroughly a bad stay,4,0,0,0.0,0,Worst,Worst
