review,total_word_count,count_good,count_average,count_medium,count_worst,sentiment,topic_cluster
"The staff was great, very friendly",7,2,0,0,0,Good,2
"The bed was also really comfortable, and the room was very nice",13,2,0,0,0,Good,4
Pretty disappointed with the stay though,6,0,0,1,0,Medium,1
"It wasn't listed on the app or on Google that the restaurant had just closed, and I didn't know there was no hot water until after I checked in",32,0,0,0,0,Neutral,0
"There wasn't really any food I saw other than a few drinks in a fridge, coffee, and some apples/oranges",22,0,0,0,0,Neutral,0
"So with the lack of hot water and really no food, I feel like I wasted my points the one time I decided to spend them",27,0,0,0,0,Neutral,0
"DO NOT STAY HERE!!! I called the day of my check-in to ask a question and was told they DO NOT HAVE ANY HOT WATER, and they offered to cancel my reservation",36,0,0,0,0,Neutral,0
"The front desk agent that had answered the phone said this had been an ongoing issue, it was supposed to have been fixed, they were calling all reservations to see if they wanted to cancel - and the hotel was completely closing on the 1st",47,0,0,0,0,Neutral,0
"I confirmed that was not an option as we have non-refundable tickets to an event tonight, and with it being New Year's Eve - everything was significantly more expensive",31,0,0,0,1,Worst,0
"I asked to either receive a discount for the night, or if they could transfer me to the Holiday Inn Express down the street for the same rate, as it was now $30 more for the night",40,0,0,0,0,Neutral,0
"The call was transferred to the manager, Lynette, who immediately had a raised voice from the moment she got on the call - she was incredibly unprofessional and rude - and when I mentioned this, she yelled at me that I can file a complaint against her if I want to because they are independently owned and not affiliated with any other Holiday Inn",67,0,0,0,1,Worst,0
"She continued to yell at an try to berate me, then canceled my reservation and hung up on me - while still charging me for it",27,0,0,0,0,Neutral,0
"That said, it is less than five hours before check-in and they still have not made calls to people checking in - I had to let our friends know there isn't any hot water and to try and scramble to figure things out at the very last minute",50,0,0,0,0,Neutral,0
DO NOT STAY HERE AND AVOID LYNETTE AT ALL COSTS!!!!!!!!!!!!!!!,25,0,0,0,0,Neutral,1
Has everything i needed for an overnight stay,8,0,0,0,0,Neutral,1
Bed is comfortable and cozy,5,1,0,0,0,Good,0
A/c was not too loud,5,0,0,0,0,Neutral,0
I slept really well,4,0,0,0,0,Neutral,0
I’m well rested,5,0,0,0,0,Neutral,0
"Manager Lynette was very kind and accommodating, i appreciated her courtesy during my stay",15,0,0,0,0,Neutral,1
Housekeeping staff were helpful as well,6,1,0,0,0,Good,2
Quite close to Petersen Space Force Base and the airport,10,0,0,0,0,Neutral,0
Very convenient location,3,0,0,0,0,Neutral,0
Gave a goody bag upon checking in,7,0,0,0,0,Neutral,0
Good and dependable breakfast,4,1,0,0,0,Good,0
With a great selection of pillows & a comfortable bed I slept well,13,2,0,0,0,Good,0
A hot shower with good water pressure made me take a longer than usual shower,15,1,0,0,0,Good,0
Very good breakfast with no extra charge for OJ! Excellent parking for a full size pick up with a trailer,21,2,0,0,0,Good,0
Service was lacking a bit but reliable employees are so rare that I’ll still giving 5 stars,19,0,0,1,0,Medium,0
"Also we did feel safe at this hotel, great neighborhood",11,1,0,0,0,Good,0
Nice! Really liked this hotel,6,1,0,0,0,Good,0
Lady at desk was rude and disrespectful,7,0,0,0,1,Worst,0
Booked this hotel solely for its free shuttle paired with a clinic and hotel,14,0,0,0,0,Neutral,0
"Come to find out, it does not run on weekends to the airport and the day we needed it they didn’t have someone available to drive",29,0,0,0,0,Neutral,0
"The front desk gal was apologetic, however we did end up having to spend significantly more money on transportation services which was not planned for",26,0,0,0,0,Neutral,0
"Had we known the shuttle wasn’t a for sure service as advertised, we would have chosen elsewhere to stay",22,0,0,0,0,Neutral,3
"We had a great time in this hotel, room is big, view is great (mountain), furniture are well equipped",24,2,0,0,0,Good,0
There's an additional table that I can use,9,0,0,0,0,Neutral,0
"Breakfast was great, service was great, even on second day when the server was missing, the cook had to take care of front and back kitchen",29,2,0,0,0,Good,3
"Very clean, nice room",5,2,0,0,0,Good,4
Continental breakfast was better than average and the attendants were superb,11,0,0,1,0,Medium,0
Surfaces were all clean and food was fresh,8,1,0,0,0,Good,4
Indoor pool and hottub were fine,6,0,1,0,0,Average,0
A really good stay here!,6,1,0,0,0,Good,1
Great stay,2,1,0,0,0,Good,1
Conveniently located near the airport,5,0,0,0,0,Neutral,0
"Hotel fraco, ar condicionado não resfriava então mudamos de quarto, e o proximo gelava demais",17,0,0,0,0,Neutral,0
"Restaurante com poucas opções, somente porções, estava mais para um bar",13,0,0,0,0,Neutral,0
Íamos sair cedo para o aeroporto e o café deveria ser servido a partir das 6h mas deu 6:05 e não tinha ninguém pra atender,25,0,0,0,0,Neutral,0
Pagamos por café da manhã e não recebemos,8,0,0,0,0,Neutral,0
Não fosse o Anthony que foi super gentil e solicito minha nota seria zero,14,0,0,0,0,Neutral,0
Para o Anthony dou um 10,6,0,0,0,0,Neutral,0
"Se precisar de um hotel próximo ao aeroporto procure outro, esse é só incômodo",15,0,0,0,0,Neutral,0
The building is being remodeled so there's stuff missing and things hanging down,14,0,0,0,0,Neutral,0
The clerk was efficient,4,0,0,0,0,Neutral,0
The room is dated,4,0,0,0,0,Neutral,0
Very accommodating and friendly,4,1,0,0,0,Good,2
"As a loyal customer, this was by far my worst Holiday Inn experience",14,0,0,0,1,Worst,0
"Where to begin, here goes:",7,0,0,0,0,Neutral,0
"Found multiple long black hairs in the shower, which was pretty gross",13,0,0,0,1,Worst,0
The advertised shuttle service was misleading,6,0,0,0,0,Neutral,3
"It only runs from 8 AM to 5 PM, which didn't align with my flight times",18,0,0,0,0,Neutral,0
I wasn’t the only one frustrated by this—another guest had the same issue,17,0,0,0,0,Neutral,0
The desk employee was rude and unhelpful,7,0,0,0,2,Worst,0
"When I called to request a shuttle for a late arrival, the woman on the phone was dismissive and cold",21,0,0,0,0,Neutral,0
No greeting upon check-in,4,0,0,0,0,Neutral,0
"I had to find and interrupt the same employee, who was chatting with a coworker, just to get checked in",22,0,0,0,0,Neutral,0
"Room directions were unclear, and I had to wander around the hotel to find my room",17,0,0,0,0,Neutral,0
"The lighting in the room was poor, making it feel dark and uncomfortable, even with all the lights on",21,0,0,0,1,Worst,0
The gym’s only treadmill was broken,8,0,0,0,1,Worst,0
No complimentary coffee in the lobby,6,0,0,0,0,Neutral,0
"The entire hotel felt old, neglected, and in desperate need of renovation",14,0,0,0,0,Neutral,0
"Definitely not the experience I expected, especially from a brand I’ve trusted for years",17,0,0,0,0,Neutral,0
Very clean hotel,3,1,0,0,0,Good,4
The staff is wonderful specially Anthony who work at front desk,11,1,0,0,0,Good,0
He makes us very smooth check in,7,0,0,0,0,Neutral,0
", and the cleaning crews, and the restaurant staff are all amazing people specially Anna",16,1,0,0,0,Good,0
Everyone was happy to help and engage,7,0,0,0,0,Neutral,0
Location is perfect for our needs,6,1,0,0,0,Good,0
Close to the  airport,4,0,0,0,0,Neutral,0
Really liked this hotel,4,0,0,0,0,Neutral,0
"Great rooms, very nice lobby",6,2,0,0,0,Good,0
"Breakfast was delicious, and the free meal they offer kids wash huge; chocolate chip pancakes with whipped cream and fruit",22,0,0,0,0,Neutral,0
"Service was slow because, like so many places, they were understaffed, but our waitress worked hard to serve everyone and even squeezed in a late order for my husband when his appointment ran late",37,0,0,0,0,Neutral,0
20 minutes from Red Rock Canyon and Garden of the Gods,11,0,0,0,0,Neutral,0
Would definitely return again!,5,0,0,0,0,Neutral,0
The hotel is going through renovations and my room way definitely prerenovation,12,0,0,0,0,Neutral,0
"The fridge didn't work, the shower had more water leaking and dropping than coming out the front of the shower head, the TV remote didn't work, and various lights didn't work",37,0,0,0,0,Neutral,0
"I paid extra for the breakfast included and there was only 1 server for 10 tables, it was entirely too many",22,0,0,0,0,Neutral,0
"I'm sure she would've loved to give good service, but if you've ever waited tables before, you know 10 is way too many, especially for breakfast when people are trying to get in and out to go do activities",45,2,0,0,0,Good,0
Other than that it was a decent location for doing stuff nearby and views were good,16,1,1,0,0,Good,0
It is very conveniently located near the airport and can have amazing views of Pikes Peak if you're on the right side,23,1,0,0,0,Good,0
The hotel is very old and outdated,7,0,0,0,0,Neutral,0
The mattress was a very uncomfortable spring mattress and it sagged completely on one side,15,0,0,0,0,Neutral,0
The elevators displayed violations that needed to be corrected,9,0,0,0,0,Neutral,0
"Overall, not a good experience",6,1,0,0,0,Good,0
My go to place when I'm in the area,10,0,0,0,0,Neutral,0
Great hotel,2,1,0,0,0,Good,0
The rooms were nice and had a great view,9,2,0,0,0,Good,0
I liked it more than most hotels I've been too,11,0,0,0,0,Neutral,0
Guy at the front was nice and helpful,8,2,0,0,0,Good,0
Only negative was that they didn't have hot chocolate packets,11,0,0,0,0,Neutral,0
"半年前在hotwire 上订的宾馆，有可能订的太早，当晚入住时，服务人员说我们没有我们的预订记录，我们把订的单据show给服务人员，她的第一反应是我们遇到了spam,后来她才跟我们说几个月前，这里因为漏水问题所以关闭了很多房间，他们也跟hotwire联系过，有可能是hotwire那边没通知道我们。这明明是hotel 与hotwire之间没沟通好的问题，宾馆第一方应是我们遇到了spam, 这种态度也太推卸责任了。",7,0,0,0,0,Neutral,0
Very clean hotel,3,1,0,0,0,Good,4
"The staff is wonderful, and I mean everyone",9,1,0,0,0,Good,2
