review,total_word_count,count_good,count_average,count_medium,count_worst,sentiment,predicted_sentiment
the restaurant is pretty bad my daughter got sick from the turkey sandwich and no place within walking distance,19,0,0,0.0,0,Worst,Worst
one must get a ride to any other place,9,0,0,0.0,0,Average,Average
makes it tough when there for a conference,8,0,0,0.0,0,Worst,Average
not a star in my opinion,6,0,0,0.0,0,Average,Average
not flexible you have to come all the way down from however high your room is to use the microwave,21,0,0,0.0,0,Worst,Average
they are not helpful and to me not very hospitable,10,1,0,0.0,1,Good,Good
you have to flush multiple times to get the toilet to completely flush,13,0,0,0.0,2,Worst,Worst
i stayed at the hilton hotel in hasbrouck for several days and booked my stay through expedia for the first time,21,0,0,0.0,0,Average,Average
initially there was an issue with my reservation because it wasnt confirmed at the time of booking however i received the confirmation email later,28,0,0,0.0,1,Worst,Worst
fortunately daniel at the front desk was able to accommodate my needs ensuring a comfortable and peaceful stay,20,2,0,0.0,0,Good,Good
i appreciate his help and the hotel’s hospitality,10,0,0,0.0,0,Good,Good
a bit dated,3,0,0,0.0,0,Average,Average
staff is nice,3,0,0,0.0,0,Good,Good
decent breakfast buffet,3,0,1,0.0,0,Average,Average
daniel kim were very warm welcoming from the time we arrived,13,1,0,0.0,0,Good,Good
the location is perfect the everything is aesthetically pleasing,10,1,0,0.0,0,Good,Good
i’ll definitely stay here every trip,8,0,0,0.0,0,Good,Good
be sure to say hi to daniel kim,9,0,0,0.0,0,Good,Good
they’ll be sure to greet you with a smile,11,0,0,0.0,0,Good,Good
excellent,2,1,0,0.0,0,Good,Good
the waiter elvin was soooo nice and helpful the shower force is excellent the room was clean,23,3,0,0.0,0,Good,Good
this is a good place to stay if you need to be in the area,15,0,0,0.0,0,Good,Good
the rooms are clean and well kept,7,1,0,0.0,0,Good,Good
staff was nice and helpful,5,1,0,0.0,0,Good,Good
the restaurant had a good hot breakfast buffet and dinner offerings were okay,13,0,1,0.0,0,Average,Average
parking is free and location is good for turnpike connections,10,0,0,0.0,0,Good,Good
