review,total_word_count,count_good,count_average,count_medium,count_worst,sentiment,topic_cluster
"Great everything, but no safe in rooms",8,1,0,0,0,Good,0
weird!,2,0,0,0,0,Neutral,0
"Rooms suck, they are really outdated TV is a 30 inch tv from the 90’s",18,0,0,0,0,Neutral,0
Plumbing sucks toilet would not flush good,7,1,0,0,0,Good,0
The room had a smell to them,7,0,0,0,0,Neutral,0
There was bugs in the room and not to mention the breakfast was not what other Fairfield’s offer,20,0,0,0,0,Neutral,0
Tried to get a hold of manager and I could never speak to her,14,0,0,0,0,Neutral,0
I’ve tried calling and front desk  and they would pretended they were the manager,16,0,0,0,0,Neutral,0
"Close to everything, great staff, nice rooms with comfy beds, quiet, and a great breakfast",19,3,0,0,0,Good,0
Very clean and seems to be recently updated,8,1,0,0,0,Good,4
I’d stay here again,6,0,0,0,0,Neutral,1
"Nice property, clean, and a friendly staff",9,3,0,0,0,Good,2
"A bit noisy, minutes from downtown, located on the frontage road of a busy I35",17,0,0,0,0,Neutral,0
Exelente muy amable la muchacha de recepccion,7,0,0,0,0,Neutral,0
Nice room,2,1,0,0,0,Good,4
great people!,3,1,0,0,0,Good,0
My reason for choosing this site was easy parking fairly near my granddaughter who lives near downtown Austin,18,0,0,0,0,Neutral,0
The surprise came with the hotel staff,7,0,0,0,0,Neutral,2
"Sisi greeted us with a warm smile, then the other members of the team were equally helpful",18,1,0,0,0,Good,0
Jarred at the front desk is awesome! Very accommodating and kind and answered all my questions and even told me a bit about the Austin area,27,0,0,0,0,Neutral,0
Amazing service I’ll be staying here the next time I visit Austin!,15,1,0,0,0,Good,3
Our go to hotel when we visit Austin,8,0,0,0,0,Neutral,0
Booked with points so this was supposed to be a free stay,12,0,0,0,0,Neutral,1
Got hit with a $350 smoking fee even though the elevator and halls already smelt of marijuana,18,0,0,0,0,Neutral,0
The past comments the property management mentions how the fee is to cover additional cleaning fees,16,0,0,0,0,Neutral,0
I’d like to read that hefty cleaning report for my room that implies it needed an extra $350 charge upon departure,24,0,0,0,0,Neutral,0
Cars were getting towed upon arrival,6,0,0,0,0,Neutral,0
Staff looked tired and were clearly unhappy working there,9,0,0,0,0,Neutral,0
My car got broken into and my switch 2 got stolen,11,0,0,0,1,Worst,0
Even though this place is gated,6,0,0,0,0,Neutral,0
"Positive: Awesome staff  Ice machine hadn’t made ice one evening, so desk clerk, Sisi went next door to another hotel to get me some",29,0,0,0,0,Neutral,0
Hot breakfast,2,0,0,0,0,Neutral,0
LOTS of choices/special touches  Fruit & nuts for the waffles,10,0,0,0,0,Neutral,0
Right on I-35 but NO road noise,7,0,0,0,0,Neutral,0
Negative: Had to pay $10 for parking here and other areas of the city because of rhigh crime rate,21,0,0,0,0,Neutral,0
$30 in downtown or airport locations,7,0,0,0,0,Neutral,0
National Guard is helping!!,6,0,0,0,0,Neutral,0
sleep & stay ruined bc staff incompetent with wake up call system,12,0,0,0,0,Neutral,1
Positive: Good breakfast Negative: Funky smell in room,10,1,0,0,0,Good,0
Fairfield by Marriott Inn & Suites Austin South ⭐️⭐️⭐️⭐️⭐️,9,0,0,0,0,Neutral,0
"Excellent location right off the highway, and interestingly, there are five Marriott properties lined up in this area",20,1,0,0,0,Good,0
"This one doesn’t have a pool, but one of the nearby hotels does (and it’s heated), so check amenities if that’s important to you",34,0,0,0,0,Neutral,0
"The staff here is outstanding — kind, polite, and genuinely friendly",13,1,0,0,0,Good,2
"The hotel feels safe and secure, even with the visible homelessness that’s common throughout Austin",18,0,0,0,0,Neutral,0
Free breakfast and $10/day parking make it a great value overall,12,1,0,0,0,Good,0
