review,total_word_count,count_good,count_average,count_medium,count_worst,sentiment,predicted_sentiment
great everything but no safe in rooms,8,1,0,0.0,0,Good,Good
weird,2,0,0,0.0,0,Worst,Average
rooms suck they are really outdated tv is a inch tv from the ’s,18,0,0,0.0,2,Worst,Worst
plumbing sucks toilet would not flush good,7,0,0,0.0,3,Worst,Worst
the room had a smell to them,7,0,0,0.0,1,Worst,Worst
there was bugs in the room and not to mention the breakfast was not what other fairfield’s offer,20,0,0,0.0,1,Worst,Worst
tried to get a hold of manager and i could never speak to her,14,0,0,0.0,1,Worst,Worst
i’ve tried calling and front desk and they would pretended they were the manager,16,0,0,0.0,0,Average,Average
close to everything great staff nice rooms with comfy beds quiet and a great breakfast,19,5,0,0.0,0,Good,Good
very clean and seems to be recently updated,8,2,0,0.0,0,Good,Good
i’d stay here again,6,0,0,0.0,0,Average,Average
nice property clean and a friendly staff,9,2,0,0.0,0,Good,Good
a bit noisy minutes from downtown located on the frontage road of a busy i,17,0,0,1.5,1,Medium,Medium
exelente muy amable la muchacha de recepccion,7,0,0,0.0,0,Average,Average
nice room,2,0,0,0.0,0,Good,Good
great people,3,1,0,0.0,0,Good,Good
my reason for choosing this site was easy parking fairly near my granddaughter who lives near downtown austin,18,0,0,0.0,0,Good,Good
the surprise came with the hotel staff,7,0,0,0.0,0,Good,Average
sisi greeted us with a warm smile then the other members of the team were equally helpful,18,2,0,0.0,0,Good,Good
jarred at the front desk is awesome very accommodating and kind and answered all my questions and even told me a bit about the austin area,27,3,0,0.0,0,Good,Good
amazing service i’ll be staying here the next time i visit austin,15,1,0,0.0,0,Good,Good
our go to hotel when we visit austin,8,0,0,0.0,0,Average,Average
booked with points so this was supposed to be a free stay,12,0,0,0.0,0,Good,Good
got hit with a smoking fee even though the elevator and halls already smelt of marijuana,18,0,0,0.0,0,Average,Average
the past comments the property management mentions how the fee is to cover additional cleaning fees,16,0,0,0.0,0,Average,Average
i’d like to read that hefty cleaning report for my room that implies it needed an extra charge upon departure,24,0,0,0.0,0,Good,Good
cars were getting towed upon arrival,6,0,0,0.0,0,Average,Average
staff looked tired and were clearly unhappy working there,9,0,0,0.0,1,Worst,Worst
my car got broken into and my switch got stolen,11,0,0,0.0,3,Worst,Worst
even though this place is gated,6,0,0,0.0,0,Average,Average
positive awesome staff ice machine hadn’t made ice one evening so desk clerk sisi went next door to another hotel to get me some,29,1,0,0.0,0,Good,Good
hot breakfast,2,0,0,0.0,0,Average,Average
lots of choicesspecial touches fruit nuts for the waffles,10,0,0,0.0,0,Worst,Average
right on i but no road noise,7,0,0,0.0,1,Worst,Worst
negative had to pay for parking here and other areas of the city because of rhigh crime rate,21,0,0,0.0,0,Worst,Worst
in downtown or airport locations,7,0,0,0.0,0,Average,Average
national guard is helping,6,0,0,0.0,0,Good,Average
sleep stay ruined bc staff incompetent with wake up call system,12,0,0,0.0,0,Worst,Worst
positive good breakfast negative funky smell in room,10,0,0,0.0,1,Worst,Worst
fairfield by marriott inn suites austin south ⭐️⭐️⭐️⭐️⭐️,0,0,0,0.0,0,Neutral,Neutral
excellent location right off the highway and interestingly there are five marriott properties lined up in this area,20,1,0,0.0,0,Good,Good
this one doesn’t have a pool but one of the nearby hotels does and it’s heated so check amenities if that’s important to you,34,0,0,0.0,0,Good,Good
the staff here is outstanding — kind polite and genuinely friendly,13,3,0,0.0,0,Good,Good
the hotel feels safe and secure even with the visible homelessness that’s common throughout austin,18,0,0,0.0,0,Good,Good
free breakfast and day parking make it a great value overall,12,2,0,0.0,0,Good,Good
great location that is about mins from downtown austin the staff was nice and able to communicate when i had questions however at check in the girl didn’t give me my total price or break down what the extra charges were gonna be so i was a little confused when i got charged an extra but that was later confirmed to be the refundable fee that they give you once you check out just in case of damages,88,2,0,0.0,0,Good,Good
so just to be made aware this hotel does charge you and extra a night that you can get back later but i just wasn’t told that at check in,36,0,0,0.0,0,Average,Average
other than that this place was great and really convenient,10,2,0,0.0,0,Good,Good
being charged for a smoking fee,6,0,0,0.0,0,Worst,Worst
i do not smoke anything and got the feedback that all sensors are “ accurate,18,0,0,0.0,0,Average,Average
” i was right by the stairwell too which constantly smelled of smoke,13,0,0,0.0,0,Average,Average
i am disappointed with this,7,0,0,0.0,1,Worst,Worst
hoping when the manager calls me at this will be resolved… especially since the reviews are flooded with similar responses,21,0,0,0.0,0,Good,Good
air conditioning had a heavy moldy smell coming from it,10,0,0,0.0,1,Worst,Worst
since i am here for formula and everything is sold out was just stuck with this smell for the a night charge,26,0,0,0.0,1,Worst,Worst
nice place and nice people,5,0,0,0.0,0,Good,Good
strangely they charge for parking,6,0,0,0.0,0,Worst,Average
i construction makes getting there a little troublesome,8,0,0,0.0,0,Worst,Average
i was charged a smoking fee for my stay,9,0,0,0.0,0,Worst,Worst
i stayed at this hotel from,0,0,0,0.0,0,Neutral,Neutral
when i first saw charges to my debit card it was a total of,16,0,0,0.0,0,Worst,Worst
hold,0,0,0,0.0,0,Neutral,Neutral
when i called kate couldnt answer my question so she transferred me to amanda hopefully i have order correct,22,0,0,0.0,0,Good,Average
anyways it was incidentally daily i am not math wizard but isnt that the manager then stated i am being charged a smoking fee due to a sensor going off,40,0,0,0.0,0,Worst,Worst
i do not smoke have never smoked and when i told her that she giggled and said it picks up vaping and marijuana,23,0,0,0.0,0,Good,Average
well i do not do that either,7,0,0,0.0,0,Good,Worst
i am hoping they lose our business company wide,9,0,0,0.0,0,Average,Average
my neice has volunteered to go style her hair due to the fact the sensor went off at am when she was getting ready for work,27,0,0,0.0,0,Good,Good
very aggravated there response to me we have a strict smoke free policy wish my neice would have worn a messy bun,27,0,0,0.0,1,Worst,Worst
because her hair really smokes when she blow dries it and straightens it,14,0,0,0.0,0,Average,Average
