review,total_word_count,count_good,count_average,count_medium,count_worst,vader_score,sentiments
"The staff was great, very friendly",7,1,0,0,0,0.8221,Good
"The bed was also really comfortable, and the room was very nice",13,1,0,0,0,0.7708,Good
Pretty disappointed with the stay though,6,0,0,0,1,0.0258,Worst
"It wasn't listed on the app or on Google that the restaurant had just closed, and I didn't know there was no hot water until after I checked in",32,0,0,0,0,-0.296,Worst
"There wasn't really any food I saw other than a few drinks in a fridge, coffee, and some apples/oranges",22,0,0,0,0,0.0,Average
"So with the lack of hot water and really no food, I feel like I wasted my points the one time I decided to spend them",27,0,0,0,0,-0.6962,Worst
"DO NOT STAY HERE!!! I called the day of my check-in to ask a question and was told they DO NOT HAVE ANY HOT WATER, and they offered to cancel my reservation",36,0,0,0,0,-0.4359,Worst
"The front desk agent that had answered the phone said this had been an ongoing issue, it was supposed to have been fixed, they were calling all reservations to see if they wanted to cancel - and the hotel was completely closing on the 1st",47,0,0,0,1,-0.25,Worst
"I confirmed that was not an option as we have non-refundable tickets to an event tonight, and with it being New Year's Eve - everything was significantly more expensive",31,0,0,0,1,0.0,Worst
"I asked to either receive a discount for the night, or if they could transfer me to the Holiday Inn Express down the street for the same rate, as it was now $30 more for the night",40,0,0,0,0,0.4019,Good
"The call was transferred to the manager, Lynette, who immediately had a raised voice from the moment she got on the call - she was incredibly unprofessional and rude - and when I mentioned this, she yelled at me that I can file a complaint against her if I want to because they are independently owned and not affiliated with any other Holiday Inn",67,0,0,0,2,-0.7233,Worst
"She continued to yell at an try to berate me, then canceled my reservation and hung up on me - while still charging me for it",27,0,0,0,0,0.0,Average
"That said, it is less than five hours before check-in and they still have not made calls to people checking in - I had to let our friends know there isn't any hot water and to try and scramble to figure things out at the very last minute",50,0,0,0,0,0.4767,Good
DO NOT STAY HERE AND AVOID LYNETTE AT ALL COSTS!!!!!!!!!!!!!!!,0,0,0,0,0,0,Neutral
Has everything i needed for an overnight stay,8,0,0,0,0,0.0,Average
Bed is comfortable and cozy,5,2,0,0,0,0.5106,Good
A/c was not too loud,5,0,0,0,0,0.0,Average
I slept really well,4,0,0,0,0,0.3384,Good
I’m well rested,5,0,0,0,0,0.2732,Good
"Manager Lynette was very kind and accommodating, i appreciated her courtesy during my stay",15,2,0,0,0,0.8588,Good
Housekeeping staff were helpful as well,6,1,0,0,0,0.5994,Good
Quite close to Petersen Space Force Base and the airport,10,0,0,0,0,0.0,Average
Very convenient location,3,1,0,0,0,0.0,Good
Gave a goody bag upon checking in,7,0,0,0,0,0.0,Average
Good and dependable breakfast,4,0,0,0,0,0.4404,Good
With a great selection of pillows & a comfortable bed I slept well,13,3,0,0,0,0.8591,Good
A hot shower with good water pressure made me take a longer than usual shower,15,0,0,0,0,0.1779,Good
